Població a 1 de gener. Per sexe i grups d'edat. Total. Comarques, àmbits i províncies
2004
Font: Idescat. Estimacions de població.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15233&t=200400&tema=XIFPO
;0-15;16-24;25-44;45-64;65 i més;Total
Tarragonès;31684;22406;67115;45974;28683;195862
Terra Alta;1442;1252;3275;3052;3499;12520
Urgell;4805;3457;10293;7104;7010;32669
Val d'Aran;1358;968;3246;1917;1111;8600
Vallès Occidental;133664;88603;274301;177509;108138;782215
Vallès Oriental;58533;38638;123294;77838;45230;343533
Catalunya;1006396;718470;2252175;1577991;1138265;6693297
Metropolità;683743;490140;1572154;1096594;759995;4602626
Comarques Gironines;96434;65961;199628;138959;103108;604090
Camp de Tarragona;79084;54932;163781;114932;77697;490426
Terres de l'Ebre;23054;18250;49760;38139;35499;164702
Ponent;46327;33360;100419;70093;62768;312967
Comarques Centrals;68700;49067;144291;103864;85304;451226
Alt Pirineu i Aran;9054;6760;22142;15410;13894;67260
Barcelona;750552;537868;1712418;1197543;842627;5041008
Girona;98361;67446;204197;141857;105133;616994
Lleida;55345;39974;122019;85520;77305;380163
Tarragona;102138;73182;213541;153071;113200;655132
Població a 1 de gener. Per sexe i grups d'edat. Homes. Comarques, àmbits i províncies
2004
Font: Idescat. Estimacions de població.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15233&t=200400&tema=XIFPO
;0-15;16-24;25-44;45-64;65 i més;Total
Alt Camp;3028;2224;6414;4500;3060;19226
Alt Empordà;8812;6019;18246;12928;8552;54557
Alt Penedès;7151;4983;15857;10074;6409;44474
Alt Urgell;1316;978;3206;2438;2000;9938
Alta Ribagorça;263;167;667;447;361;1905
Anoia;8406;5898;17432;11659;7035;50430
Bages;12203;8837;26889;18902;13617;80448
Baix Camp;13341;8833;26631;18083;10537;77425
Baix Ebre;5223;4058;11344;8142;6508;35275
Baix Empordà;8965;6122;19043;13393;8430;55953
Baix Llobregat;60686;41204;134416;84959;40846;362111
Baix Penedès;5902;3912;12526;9161;4955;36456
Barcelonès;142459;110454;361180;251256;168606;1033955
Berguedà;2491;2056;5815;4783;4103;19248
Cerdanya;1216;886;2937;1957;1182;8178
Conca de Barberà;1422;1069;3104;2254;1953;9802
Garraf;9867;6070;20942;14142;7327;58348
Garrigues;1250;1008;2862;2360;2373;9853
Garrotxa;3591;2543;7900;6019;4784;24837
Gironès;13261;8879;26919;16228;9528;74815
Maresme;32240;21819;66262;45316;23200;188837
Montsià;4416;3463;10137;6839;5483;30338
Noguera;2477;1857;5675;4133;3886;18028
Osona;11470;7746;23340;15606;10161;68323
Pallars Jussà;771;600;1910;1481;1634;6396
Pallars Sobirà;437;291;1188;843;689;3448
Pla d'Urgell;2357;1677;5378;3492;2920;15824
Pla de l'Estany;2316;1475;4304;3006;2056;13157
Priorat;533;457;1469;1204;1170;4833
Ribera d'Ebre;1471;1279;3148;2798;2393;11089
Ripollès;1563;1365;3974;3370;2721;12993
Segarra;1545;1090;3800;2128;1826;10389
Segrià;13641;9624;29667;19604;13453;85989
Selva;10880;7245;23085;15583;8886;65679
Solsonès;980;638;2061;1477;1155;6311
Tarragonès;16362;11495;34154;23004;12379;97394
Terra Alta;750;673;1752;1623;1620;6418
Urgell;2454;1741;5502;3630;3078;16405
Val d'Aran;700;508;1711;1028;503;4450
Vallès Occidental;69088;45259;139500;87974;45491;387312
Vallès Oriental;30105;19888;63739;39355;19727;172814
Catalunya;517409;366390;1156086;777179;476597;3293661
Metropolità;351596;249677;801896;533076;311606;2247851
Comarques Gironines;49388;33648;103471;70527;44957;301991
Camp de Tarragona;40588;27990;84298;58206;34054;245136
Terres de l'Ebre;11860;9473;26381;19402;16004;83120
Ponent;23724;16997;52884;35347;27536;156488
Comarques Centrals;35550;25175;75537;52427;36071;224760
Alt Pirineu i Aran;4703;3430;11619;8194;6369;34315
Barcelona;386161;274188;875274;583967;346461;2466051
Girona;50403;34411;105928;72068;45858;308668
Lleida;28397;20328;64205;43536;34221;190687
Tarragona;52448;37463;110679;77608;50057;328255
Població a 1 de gener. Per sexe i grups d'edat. Dones. Comarques, àmbits i províncies
2004
Font: Idescat. Estimacions de població.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15233&t=200400&tema=XIFPO
;0-15;16-24;25-44;45-64;65 i més;Total
Alt Camp;2895;2025;5863;4226;3897;18906
Alt Empordà;8541;5783;17341;12359;10724;54748
Alt Penedès;6948;4668;14269;9717;8253;43855
Alt Urgell;1211;1032;3091;2197;2331;9862
Alta Ribagorça;228;175;598;393;410;1804
Anoia;7912;5591;15776;11212;9365;49856
Bages;11398;8449;24746;18921;19035;82549
Baix Camp;12684;8755;25270;17764;13802;78275
Baix Ebre;4837;3833;9974;8150;8165;34959
Baix Empordà;8575;5768;17546;13004;10631;55524
Baix Llobregat;57221;39344;127499;85708;53681;363453
Baix Penedès;5787;3841;11474;8628;5700;35430
Barcelonès;135373;107846;349964;280363;256694;1130240
Berguedà;2302;1949;5348;4635;5496;19730
Cerdanya;1084;824;2548;1712;1410;7578
Conca de Barberà;1273;1022;2703;2075;2528;9601
Garraf;9589;5953;20633;14118;9800;60093
Garrigues;1134;912;2441;2193;2783;9463
Garrotxa;3458;2430;7141;5674;6363;25066
Gironès;12652;8978;25397;16507;13195;76729
Maresme;30012;20558;63537;45594;31811;191512
Montsià;4245;3260;8962;6610;6539;29616
Noguera;2381;1775;5049;3940;4593;17738
Osona;10642;7258;21066;15318;14006;68290
Pallars Jussà;717;570;1684;1369;1981;6321
Pallars Sobirà;453;269;1067;656;785;3230
Pla d'Urgell;2233;1594;4635;3397;3638;15497
Pla de l'Estany;2252;1458;4091;2920;2624;13345
Priorat;535;388;1212;1063;1412;4610
Ribera d'Ebre;1420;1105;2920;2548;2912;10905
Ripollès;1454;1239;3622;3255;3562;13132
Segarra;1485;1006;2979;2016;2233;9719
Segrià;13019;9360;27640;19726;18053;87798
Selva;10114;6657;21019;14713;11052;63555
Solsonès;896;645;1818;1351;1331;6041
Tarragonès;15322;10911;32961;22970;16304;98468
Terra Alta;692;579;1523;1429;1879;6102
Urgell;2351;1716;4791;3474;3932;16264
Val d'Aran;658;460;1535;889;608;4150
Vallès Occidental;64576;43344;134801;89535;62647;394903
Vallès Oriental;28428;18750;59555;38483;25503;170719
Catalunya;488987;352080;1096089;800812;661668;3399636
Metropolità;332147;240463;770258;563518;448389;2354775
Comarques Gironines;47046;32313;96157;68432;58151;302099
Camp de Tarragona;38496;26942;79483;56726;43643;245290
Terres de l'Ebre;11194;8777;23379;18737;19495;81582
Ponent;22603;16363;47535;34746;35232;156479
Comarques Centrals;33150;23892;68754;51437;49233;226466
Alt Pirineu i Aran;4351;3330;10523;7216;7525;32945
Barcelona;364391;263680;837144;613576;496166;2574957
Girona;47958;33035;98269;69789;59275;308326
Lleida;26948;19646;57814;41984;43084;189476
Tarragona;49690;35719;102862;75463;63143;326877

