Població a 1 de gener. Per sexe i grups d'edat. Total. Comarques, àmbits i províncies
2011
Font: Idescat. Estimacions de població.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15233&t=201100&tema=XIFPO
;0-15;16-24;25-44;45-64;65 i més;Total
Baix Empordà;11277;6114;21957;17241;9780;66369
Baix Llobregat;73622;35612;139957;97753;50795;397739
Baix Penedès;9287;4290;17570;12663;7208;51018
Barcelonès;160029;95821;376147;264302;178885;1075184
Berguedà;2919;1808;6089;5971;3996;20783
Cerdanya;1511;781;3371;2745;1284;9692
Conca de Barberà;1710;928;3465;2808;1913;10824
Garraf;13014;6023;24834;19205;9232;72308
Garrigues;1432;921;3136;2770;2277;10536
Garrotxa;4438;2632;8397;7605;4694;27766
Gironès;17624;9119;32551;21009;10406;90709
Maresme;39230;19753;72553;55322;28693;215551
Montsià;5807;3278;12551;8672;5955;36263
Noguera;3107;1816;6663;5235;3788;20609
Osona;14303;7011;24992;19877;10765;76948
Pallars Jussà;918;656;2323;1910;1529;7336
Pallars Sobirà;540;294;1293;1127;656;3910
Pla d'Urgell;3183;1741;6518;4563;2924;18929
Pla de l'Estany;3007;1540;4892;3923;2235;15597
Priorat;728;375;1596;1413;1122;5234
Ribera d'Ebre;1577;1120;3478;3333;2363;11871
Ripollès;1836;1053;3858;3842;2614;13203
Segarra;2128;1080;4277;2837;1753;12075
Segrià;17414;9841;36896;25563;14272;103986
Selva;14981;8228;30866;21941;11214;87230
Solsonès;1200;622;2200;1846;1174;7042
Tarragonès;22728;11891;45259;30430;14998;125306
Terra Alta;812;588;1846;1755;1569;6570
Urgell;3218;1724;6281;4734;3042;18999
Val d'Aran;829;509;2059;1374;534;5305
Vallès Occidental;85247;41555;154257;107267;52956;441282
Vallès Oriental;38339;18135;70504;49501;24142;200621
Catalunya;637957;336995;1284549;922715;533376;3715592
Metropolità;419448;221373;856760;606411;351838;2455830
Comarques Gironines;65250;35108;126129;93355;51215;371057
Camp de Tarragona;56352;28554;108212;76726;40914;310758
Terres de l'Ebre;15011;8795;31759;23978;16997;96540
Ponent;30482;17123;63771;45702;28056;185134
Comarques Centrals;45715;22625;84601;65746;38131;256818
Alt Pirineu i Aran;5699;3417;13317;10797;6225;39455
Barcelona;463991;243375;939139;670276;388760;2705541
Girona;66474;35740;128916;95471;52157;378758
Lleida;36129;20531;76523;56264;34549;223996
Tarragona;71363;37349;139971;100704;57910;407297
Població a 1 de gener. Per sexe i grups d'edat. Dones. Comarques, àmbits i províncies
2011
Font: Idescat. Estimacions de població.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15233&t=201100&tema=XIFPO
;0-15;16-24;25-44;45-64;65 i més;Total
Alt Camp;3646;2049;6611;5399;4246;21951
Alt Empordà;11358;6176;21362;16914;12358;68168
Alt Penedès;9435;4356;17006;12378;9153;52328
Alt Urgell;1456;945;3297;2757;2271;10726
Alta Ribagorça;260;157;634;511;409;1971
Anoia;10541;5158;18412;13985;10449;58545
Bages;14873;7495;27866;22900;19863;92997
Baix Camp;17061;9015;30580;23392;15597;95645
Baix Ebre;6176;3577;11619;9923;8745;40040
Baix Empordà;10632;5864;20027;16760;12176;65459
Baix Llobregat;69221;33929;133181;99730;65671;401732
Baix Penedès;8824;4252;16006;12082;8108;49272
Barcelonès;150346;92330;360738;294264;265784;1163462
Berguedà;2698;1653;5410;5553;5364;20678
Cerdanya;1367;695;2979;2310;1543;8894
Conca de Barberà;1574;881;2973;2485;2413;10326
Garraf;12253;5917;24008;18578;11721;72477
Garrigues;1216;804;2470;2449;2661;9600
Garrotxa;4130;2353;7804;6949;6374;27610
Gironès;16611;8682;30394;21127;14338;91152
Maresme;36312;18370;68515;56257;37896;217350
Montsià;5428;3249;10920;8251;7222;35070
Noguera;2914;1726;5414;4685;4564;19303
Osona;13207;6827;22991;19014;14792;76831
Pallars Jussà;918;547;1839;1703;1900;6907
Pallars Sobirà;516;329;1075;890;728;3538
Pla d'Urgell;3024;1627;5543;4128;3732;18054
Pla de l'Estany;2824;1410;4674;3715;2869;15492
Priorat;598;385;1223;1219;1314;4739
Ribera d'Ebre;1581;1017;2942;3089;2885;11514
Ripollès;1591;981;3390;3658;3537;13157
Segarra;1908;1087;3449;2462;2200;11106
Segrià;16580;9634;31957;24861;19227;102259
Selva;13919;7553;27038;20591;13509;82610
Solsonès;1147;589;1964;1629;1417;6746
Tarragonès;21170;11484;41055;29897;19439;123045
Terra Alta;743;469;1500;1572;1796;6080
Urgell;2995;1600;5323;4335;3941;18194
Val d'Aran;724;471;1802;1215;619;4831
Vallès Occidental;79930;39511;147355;109666;72180;448642
Vallès Oriental;35718;17227;65446;48678;30691;197760
Catalunya;597425;322381;1198792;941961;725702;3786261
Metropolità;393215;211640;816249;639551;493096;2553751
Comarques Gironines;61065;33019;114689;89714;65161;363648
Camp de Tarragona;52873;28066;98448;74474;51117;304978
Terres de l'Ebre;13928;8312;26981;22835;20648;92704
Ponent;28637;16478;54156;42920;36325;178516
Comarques Centrals;42466;21722;76643;63081;51885;255797
Alt Pirineu i Aran;5241;3144;11626;9386;7470;36867
Barcelona;434539;232760;890928;700970;543494;2802691
Girona;62183;33604;117083;91539;66342;370751
Lleida;33902;19639;65352;52143;44102;215138
Tarragona;66801;36378;125429;97309;71764;397681

