Any,Comarca,Província,Longitud,Latitud,Superfície km2,Població.x 0-15,Població.y 0-15,Població.x 16-24,Població.y 16-24,Població.x 25-44,Població.y 25-44,Població.x 45-64,Població.y 45-64,Població.x 64+,Població.y 64+,Total kg/hab./dia,Recollida no selectiva,Recollida selectiva
2009,Terra Alta,Tarragona,0.260882637,40.910005124,743,725,790,525,665,1568,1848,1548,1728,1804,1586,1.02,2331.59,2474.4
2009,Urgell,Lleida,1.098859253,41.787239279,580,2894,3085,1712,1732,5337,6328,4152,4513,3901,2981,1.28,13355.77,3758.07
2009,Vall d'Aran,Lleida,0.71138294,42.754900684,634,735,786,488,548,1814,2148,1167,1312,603,526,2.39,6153.31,2832
2009,Vallès Occidental,Barcelona,2.113347047,41.509070517,583,76833,81588,40871,42946,148515,157415,104381,102210,68287,49708,1.33,276464.13,149037.5
2009,Vallès Oriental,Barcelona,2.221915789,41.677289414,851,34342,36442,17748,19056,66336,72674,46077,46777,28935,22493,1.33,120320.11,70805.64
2010,Alt Camp,Tarragona,1.168858284,41.262911399,538,3640,3892,2121,2226,6716,7783,5305,5776,4160,3337,1.31,13626.24,7967.19
2010,Alt Empordà,Girona,2.846670142,42.393804699,1358,11165,11899,6390,6553,21497,24031,16617,17512,12224,10153,2.25,78626.92,36808.44
2010,Alt Penedès,Barcelona,1.777332142,41.361030685,593,9138,9628,4460,4544,17068,18701,12168,12688,8958,6975,1.51,35757.95,21957.18
2010,Alt Urgell,Lleida,1.508278479,42.351403709,1447,1415,1596,970,993,3334,3503,2706,2997,2245,1872,1.32,5643.26,4960.38
2010,Alta Ribagorça,Lleida,0.801124657,42.505378455,427,265,284,173,213,633,822,495,611,401,340,1.44,1550.62,698.92
2010,Anoia,Barcelona,1.443554697,41.59783259,866,10422,11123,5216,5423,18658,21009,13731,14163,10198,7834,1.48,51282.84,12554.53
2010,Bages,Barcelona,1.631966008,41.739169106,1299,14543,15557,7721,8009,28125,31404,22580,23128,19554,13877,1.38,53289.99,39773.27
2010,Baix Camp,Tarragona,0.975413192,41.210359353,697,16735,17442,9106,9211,30588,33189,22871,23040,15253,11913,1.63,63775.64,49461.01
2010,Baix Ebre,Tarragona,0.500058469,40.879900446,1003,6059,6641,3644,3967,11657,14076,9776,9982,8616,7004,1.53,25428.56,20596.72
2010,Baix Empordà,Girona,3.085288573,42.104398466,702,10491,11177,6000,6291,20255,22544,16462,16889,11929,9590,2.26,73003.81,36897.23
2010,Baix Llobregat,Barcelona,1.902601581,41.516171187,486,67685,72139,34865,36166,134198,142060,97977,95966,63231,48917,1.33,240674.84,148184.71
2010,Baix Penedès,Tarragona,1.486364127,41.245744816,296,8620,9027,4355,4310,16056,17731,11862,12345,7661,6875,2.04,57803.84,16597.88
2010,Barcelonès,Barcelona,2.24587666,41.452263347,145,148248,157310,94008,97637,364751,382122,293249,262977,262313,175718,1.35,699421.65,411321.98
2010,Berguedà,Barcelona,1.825611891,42.077717227,1185,2685,2943,1709,1821,5491,6277,5483,5883,5364,3964,1.38,14998.13,5979.99
2010,Cerdanya,Girona,1.837361267,42.397592638,547,1328,1489,744,796,2974,3381,2191,2613,1523,1251,1.99,10502.65,2995.68
2010,Conca de Barberà,Tarragona,1.228323935,41.41091586,650,1573,1701,909,955,2992,3548,2466,2722,2422,1914,1.44,5942.49,5301.27
2010,Garraf,Barcelona,1.722171016,41.28615903,185,12066,12729,6003,6151,24122,25133,18042,18513,11386,8882,1.77,56072,37149.11
2010,Garrigues,Lleida,0.924154304,41.541651668,798,1214,1387,841,962,2491,3197,2469,2733,2650,2253,1.07,6166.55,1801.82
2010,Garrotxa,Girona,2.641583767,42.21317776,735,4074,4385,2357,2621,7870,8642,6830,7438,6316,4666,1.49,19470.61,10691.66
2010,Gironès,Girona,2.761759172,41.938317975,575,16147,17165,8817,9095,30361,33113,20523,20419,14065,10178,1.2,48147.19,31028.14
2010,Maresme,Barcelona,2.294956934,41.493732172,399,35684,38426,18777,20167,69064,73362,55120,54206,36790,27535,1.71,150659.3,118950.99
2010,Montsià,Tarragona,0.480770667,40.5432439,735,5438,5711,3421,3463,10979,12730,8100,8549,7069,5885,1.34,16794.74,18503.17
2010,Noguera,Lleida,0.660407593,41.751364415,1784,2874,3036,1791,1859,5465,6689,4588,5082,4557,3780,1.13,11990.25,4632.97
